# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
6.121983,-0.0757,-0.0513,0.9995,1.00
6.139090,-0.0708,-0.0520,0.9965,1.00
6.156965,-0.0652,-0.0469,0.9955,1.00
6.161034,-0.0674,-0.0347,0.9924,1.00
6.162181,-0.0679,-0.0332,0.9916,0.99
6.164865,-0.0674,-0.0327,0.9907,0.99
6.166223,-0.0672,-0.0325,0.9899,0.99
6.168912,-0.0669,-0.0315,0.9899,0.99
6.171214,-0.0665,-0.0310,0.9892,0.99
6.182150,-0.0657,-0.0318,0.9894,0.99
6.186033,-0.0657,-0.0388,0.9919,0.99
6.187024,-0.0655,-0.0406,0.9902,0.99
6.190106,-0.0652,-0.0418,0.9894,0.99
6.204570,-0.0650,-0.0432,0.9894,0.99
6.207571,-0.0599,-0.0518,0.9995,1.00
6.219623,-0.0608,-0.0520,1.0014,1.00
6.223305,-0.0696,-0.0511,0.9997,1.00
6.238650,-0.0701,-0.0506,0.9970,1.00
6.255661,-0.0738,-0.0459,0.9912,0.99
6.274006,-0.0726,-0.0408,0.9955,1.00
6.276847,-0.0645,-0.0442,0.9890,0.99
6.281096,-0.0616,-0.0454,0.9919,0.99
6.281951,-0.0606,-0.0476,0.9943,1.00
6.284941,-0.0599,-0.0496,0.9980,1.00
6.286109,-0.0601,-0.0503,1.0009,1.00
6.288931,-0.0608,-0.0518,1.0021,1.01
6.297782,-0.0621,-0.0535,1.0024,1.01
6.301459,-0.0606,-0.0555,0.9980,1.00
6.302552,-0.0616,-0.0552,0.9973,1.00
6.305521,-0.0618,-0.0542,0.9960,1.00
6.306610,-0.0616,-0.0533,0.9951,1.00
6.315909,-0.0618,-0.0523,0.9958,1.00
6.319009,-0.0667,-0.0467,0.9970,1.00
6.322073,-0.0599,-0.0581,0.9916,1.00
6.323905,-0.0450,-0.0755,0.9843,0.99
6.332698,-0.0364,-0.0726,0.9848,0.99
6.335058,-0.1185,-0.0276,0.9965,1.00
6.338212,-0.1187,-0.0230,0.9836,0.99
6.339750,-0.1055,-0.0200,0.9780,0.98
6.347612,-0.0977,-0.0147,0.9731,0.98
6.350582,-0.0960,0.0125,0.9704,0.98
6.354861,-0.0880,0.0115,0.9736,0.98
6.354955,-0.0823,0.0083,0.9780,0.98
6.355941,-0.0801,0.0056,0.9836,0.99
6.364204,-0.0814,0.0051,0.9875,0.99
6.367032,-0.0809,-0.0042,0.9912,0.99
6.370768,-0.0740,-0.0198,0.9892,0.99
6.372204,-0.0667,-0.0269,0.9880,0.99
6.381708,-0.0581,-0.0332,0.9877,0.99
6.384023,-0.0325,-0.0840,1.0002,1.00
6.387904,-0.0388,-0.1094,1.0102,1.02
6.388752,-0.0545,-0.0931,1.0112,1.02
